硬碰硬	aaaf
原體	adxy
原電	adyb
原先	adyd
原配	adye
願同	adyf
跳票	adyj
原告	adyl
不得要領	adyr
原生	adys
原曲	adys
原物	adyw
不偏不倚	aeae
踩踩	aeae
蹊蹺	aeah
不依不饒	aeak
百依百順	aeal
踩踏	aean
不倫不類	aeaq
不仁不義	aeaq
礁石	aeas
不但不	aeau
壓而不服	aeaw
百貨商店	aecm
此伏彼起	aedh
雁行	aedj
不值得	aedj
不爲所動	aedm
不以爲意	aeeg
不作爲	aeek
原以爲	aeek
不辭而别	aeel
不以爲耻	aeel
不辭而別	aeel
不以爲恥	aeel
不以爲奇	aeeo
不僅僅	aees
不爲已甚	aeeu
不以爲然	aeew
不值一提	aeff
趿拉	aefg
不值一駁	aefr
歪瓜裂棗	aefu
不孚衆望	aegh
不辭辛苦	aegs
蹈襲	aegw
厄瓜多爾	aehf
厄瓜多	aehh
不低於	aehr
雁塔	aehs
不修邊幅	aeip
不信邪	aejp
研修班	aejq
路遥知馬力日久見人心	aejr
不以為意	aekg
不作為	aekk
原以為	aekk
母以子貴	aekl
不以為恥	aekl
不倒翁	aekn
不以為奇	aeko
不以為然	aekw
破傷風	aelf
贗品	aell
不孕症	aemf
百貨店	aemp
不以規矩不成方圓	aeod
礁岩	aepa
雁陣	aepb
不孚眾望	aeph
雁北	aequ
踩着	aeqw
壓倒性	aery
踩著	aesh
硝化甘油	aesn
跳進黃河洗不清	aesn
不及其餘	aeuk
不及格	aeut
不假思索	aevg
踩點	aevp
跥腳	aewk
不進則退	aewn
不像話	aexm
此而可忍孰不可忍	aexm
百折不回	afad
不折不扣	afaf
百折不撓	afaf
不尷不尬	afaf
歪歪	afaf
硬齶	afal
不死不活	afan
硬碰	afaq
硬碟	afas
躡手躡腳	afaw
礙手礙腳	afaw
不打不相識	afax
研發	afbb
硬弓	afbg
硬軟	afbh
硬皮	afbp
硬通	afbs
厄爾尼諾	afbx
硬盤	afdl
硬闖	afdr
不一而足	afea
不看僧面看佛面	afee
硬傷	afeg
硬仗	afei
硬化	afeu
研修	afeu
硬件	afey
不擇手段	affe
硬逼	affl
硬挺	affm
硬拼	affq
歪打正着	affq
歪打正著	affs
不拘一格	affu
硬撑	affv
硬撐	affv
硬氣	afgq
硬筆	afgv
不列顛	afgw
硬殼	afhf
硬解	afhs
硬實	afia
研究	afic
不打自招	afif
不一定	afif
硬功	afis
硬塞	afis
歪躺	afiv
不求有功但求無過	afix
硬是	afjf
此一時	afjh
此一時彼一時	afjj
硬卧	afjp
硬臥	afjr
歪理	afjv
原形畢露	afjy
石頭子兒	afkd
歪才	afkg
硬朗	afkv
破折號	afld
歪風	aflf
硬顎	afll
研磨	afma
硬座	afmr
硬度	afms
硬漢	afns
不拘小節	afog
硬結	afoh
不正之風	afol
歪纏	afom
歪道	afqi
硬幣	afqp
硬煤	afqs
歪斜	afrf
碰頭會	afrf
硬驅	afrj
硬質	afrr
硬性	afry
研藥	afsd
破天荒	afsh
不求上進	afue
不求甚解	afuh
硬木	afum
不一樣	afuq
硬指標	afuy
不捨晝夜	afvc
研習	afvv
硬脂	afwu
硬頂	afxa
石頭記	afxe
硬骨	afxg
研讀	afxh
研討	afxk
硬說	afxk
硬説	afxq
硬體	afxy
硬要	afyc
不揣冒昧	afyj
歪曲	afys
研製	afyy
跌破	agab
跌跤	agac
齲齒	agac
不管不顧	agac
不乾不淨	agan
歧路	agat
百年不遇	agav
跌足	agaz
貫通	agbs
百年好合	agcr
貫徹	agdc
百端待舉	agdd
歧出	agdd
跌出	agdd
彖辭	ageb
跌倒	agec
跌停	agec
百年偕老	ageh
不失爲	agek
歧化	ageu
跌價	agey
百無一用	agfs
母親節	aggd
不辨真僞	agge
不辨真偽	agge
歧意	aggj
厚顔無耻	aggl
母親節	aggv
不等於	aghr
跌宕	agia
貫穿	agij
不失時機	agju
歧視	agjw
不等式	agki
不失為	agkk
不管三七二十一	aglf
跌風	aglf
貫串	agll
百無聊賴	aglu
壓箱底	agmk
跨年度	agms
跌漲	agnb
貫注	agnk
跌水	agns
蠡測	agnw
不無小補	agoc
百年之好	agoc
百年之後	agod
跑龍套	agop
百年大計	agox
跌幅	agpf
歧義	agqg
不無道理	agqj
歧途	agrf
不符合	agrh
歧黃	agsi
跌落	agsn
不辨菽麥	agsu
百年難遇	agsv
百無禁忌	ague
不乏其人	agur
百年樹人	agur
跌入	agur
紫氣東來	aguu
貫標	aguy
歧異	agvs
歧見	agwj
不乾膠	agwv
磕破	ahab
不離不棄	ahac
百毒不侵	ahae
不聲不響	ahak
原封不動	aham
不多不少	ahao
磕碰	ahaq
砝碼	ahar
躊躇	ahas
砍柴	ahau
歷久彌新	ahbg
不外如是	ahcj
確如	ahcl
砍到	ahcm
止於至善	ahcq
此起彼伏	ahde
不亦樂乎	ahdg
敷衍	ahdn
硅片	ahdp
矽片	ahdp
不堪回首	ahdq
破解版	ahdr
此起彼落	ahds
磕巴	aheb
跪倒	ahec
破土而出	ahed
確係	aheg
砍伐	ahek
確保	ahel
不教而殺	ahes
彙集	aheu
確信	ahex
不教而誅	ahex
砍價	ahey
不堪一擊	ahfb
跪拜	ahff
不名一文	ahfh
砍死	ahfh
磕頭	ahfl
砍頭	ahfl
跪求	ahfn
砍掉	ahfp
磕掉	ahfp
磕打	ahfx
此地無銀三百兩	ahgf
不負衆望	ahgh
確立	ahgl
厚顏無恥	ahgl
不外乎	ahgq
確乎	ahgq
碰運氣	ahgq
砍翻	ahgq
彙算	ahgw
不負責任	ahhe
跡象	ahhl
砍去	ahhn
彙報	ahhq
確實	ahia
砍割	ahib
確定	ahif
確守	ahik
瓦解冰消	ahin
確有	ahiw
破壞神	ahjb
確是	ahjf
雁塔題名	ahjh
確知	ahjl
百老匯	ahjn
跪了	ahke
硅谷	ahkr
矽谷	ahkr
砍刀	ahmd
確應	ahme
不堪重負	ahmh
不遠千里	ahmv
硅油	ahnb
矽油	ahnb
砍斷	ahnn
彙編	ahoc
彙總	ahod
紫外線	ahod
不急之務	ahok
紫外光	ahol
砍光	ahol
不解之緣	ahoo
磕絆	ahoq
母老虎	ahph
不負眾望	ahph
敷料	ahqi
不久前	ahqw
跪着	ahqw
敷藥	ahsd
原聲帶	ahsf
跪著	ahsh
硅藻	ahsn
矽藻	ahsn
砍殺	ahsu
不遠萬里	ahsv
硅鐵	ahtg
矽鐵	ahtg
碳素鋼	ahty
硅鋼	ahty
矽鋼	ahty
砍樹	ahuh
肯塔基	ahuh
不堪入耳	ahul
確鑿	ahuq
願者上鉤	ahut
願者上鈎	ahut
不堪入目	ahuw
確當	ahvv
矽肺	ahwf
磕睡	ahwg
不吝賜教	ahwh
確然	ahwi
不起眼	ahwn
敷貼	ahwp
敷臉	ahwr
硅脂	ahwu
矽脂	ahwu
硅膠	ahwv
矽膠	ahwv
確證	ahxb
蹺課	ahxj
敷設	ahxl
確認	ahxm
確切	ahxm
確診	ahxr
不堪設想	ahxu
跪下	ahxx
砍下	ahxx
不塞不流不止不行	aiad
不在此列	aiaf
不冷不熱	aiah
止步	aiao
跌宕不羈	aiap
石灰石	aias
碗碟	aias
百安居	aibj
跋扈	aicl
碗裏	aicv
碗裡	aicv
百家姓	aicy
毋須	aida
研究所	aidr
止住	aiek
百家爭鳴	aiel
不宣而戰	aiel
不寒而慄	aier
百身何贖	aiew
不二價	aiey
百密一疏	aift
止血	aigp
不在乎	aigq
不客氣	aigq
碗筷	aigr
百寶箱	aigu
跌宕起伏	aihe
止境	aihg
碗壺	aihh
研究者	aihj
止於	aihr
不攻自破	aiia
研究室	aiic
毋寧	aiir
不自在	aiiu
不自量	aijf
不自量力	aijs
不容易	aijw
研究成果	aikj
不容分説	aikx
不容分說	aikx
止咳	ailh
歲寒三友	aili
不寧唯是	ailj
止嘔	ailj
碗口	ailv
研究員	ailw
止痛	aimb
碗底	aimk
止癢	aimq
毋庸	aimv
跋涉	aina
不二法門	aind
止渴	ainj
不凍港	ains
硬功夫	aiof
躥紅	aioi
不在少數	aiol
壓寨夫人	aior
不容置辯	aipg
研究院	aipi
不容置喙	aipl
不容置疑	aipu
研究會	airf
不完全	airj
確定性	airy
石家莊市	aisc
石家莊	aisd
百身莫贖	aisw
不在其位	aiue
不在其位不謀其政	aiuf
碗櫃	aiuj
確有其事	aiuk
碗櫥	aium
碗麪	aiut
碗麵	aiut
不定期	aiuw
不容忽視	aiwj
破家縣令	aiwr
不在話下	aixx
毋需	aiye
研究生	aiys
砸破	ajab
砸碎	ajac
壓碎	ajac
不知不覺	ajad
不明不白	ajad
破罐破摔	ajaf
此時此刻	ajah
厚厚	ajaj
不早不晚	ajaj
百歲	ajak
壓歲	ajak
踟躕	ajam
百步	ajao
不緊不慢	ajar
百星不如一月	ajaw
壓軸	ajbb
壓車	ajbj
砸車	ajbj
不知輕重	ajbm
壓強	ajbn
百強	ajbn
厚皮	ajbp
不知就裏	ajcc
不明就裏	ajcc
不知就裡	ajcc
不明就裡	ajcc
不知好歹	ajcf
砸到	ajcm
踢到	ajcm
厭棄	ajcn
不敢高攀	ajcu
百姓	ajcy
壓扁	ajcy
不明覺厲	ajda
百出	ajdd
不知所措	ajdf
砸開	ajdf
厚待	ajdh
砸毀	ajdh
不知所云	ajdi
砸毁	ajdi
百兆	ajdi
百閱	ajdk
百般	ajdl
壓船	ajdl
壓盤	ajdl
砸門	ajdm
百鳥	ajdn
不敢問津	ajdn
百樂	ajdn
壓迫	ajdo
不知所終	ajdo
百閲	ajdq
厭學	ajds
破題兒第一遭	ajds
壓倒	ajec
百倍	ajeg
百億	ajeg
砸傷	ajeg
厚愛	ajeh
百佳	ajeh
碩果僅存	ajei
壓低	ajek
壓住	ajek
百代	ajek
不知進退	ajen
厭倦	ajeq
百貨	ajeu
壓條	ajeu
壓貨	ajeu
壓價	ajey
不知天高地厚	ajfa
壓擠	ajfc
砸死	ajfh
壓抑	ajfk
百元	ajfl
不知死活	ajfn
百天	ajfo
砸掉	ajfp
百搭	ajfs
厭惡	ajfu
踢打	ajfx
百麗	ajfy
壓産	ajgg
厚顔	ajgg
百十	ajgi
百年	ajgj
厚意	ajgj
壓韻	ajgj
百部	ajgl
不景氣	ajgq
不敢越雷池一步	ajha
壓產	ajha
厚顏	ajha
砸壞	ajhc
距離	ajhd
不知去向	ajhd
百色	ajhe
不是冤家不聚頭	ajhf
百多	ajhh
足球場	ajhj
壓塌	ajhj
百名	ajhl
壓垮	ajho
不知者不罪	ajhp
厚望	ajhw
足智多謀	ajhx
厚實	ajia
百官	ajib
百家	ajig
百次	ajih
壓寶	ajij
足球賽	ajis
踢球	ajjf
百福	ajjf
壓題	ajjf
百曉	ajjh
百匯	ajjn
百日	ajjr
歪理邪説	ajjx
歪理邪說	ajjx
厚禮	ajjy
砸了	ajke
踢了	ajke
不影響	ajkg
百事	ajkl
百分	ajkm
百餘	ajkr
厭食	ajks
百盛	ajkt
百川	ajlc
不是味兒	ajld
百日咳	ajlh
齜牙咧嘴	ajll
厭戰	ajll
百獸	ajll
百戰	ajll
不知凡幾	ajln
百聯	ajln
壓庫	ajmb
壓痛	ajmb
百病	ajmf
百科	ajmi
厚利	ajmm
壓痕	ajmn
厚度	ajms
百度	ajms
厚重	ajmv
壓斷	ajnn
百態	ajnw
不祥之兆	ajod
壓線	ajod
不智之舉	ajod
不時之須	ajod
百日維新	ajog
壓紋	ajoh
壓縮	ajoi
厚紙	ajok
踢給	ajor
不易之論	ajox
不時之需	ajoy
百納	ajoy
壓陣	ajpb
足球隊	ajpq
壓隊	ajpq
石景山	ajps
壓降	ajpt
厭煩	ajqa
砸爛	ajqd
厚道	ajqi
不知道	ajqi
踢爆	ajqj
百米	ajqm
夏日炎炎	ajqq
壓着	ajqw
砸人	ajre
百合	ajrh
百忙	ajrh
距今	ajrk
百念	ajrk
原班人馬	ajrr
百花	ajse
厭舊	ajse
厚葬	ajsf
壓蓋	ajsh
壓著	ajsh
厭世	ajsi
百世	ajsi
百草	ajsj
壓力	ajsl
厚薄	ajsn
厚古薄今	ajsr
百葉	ajss
百萬	ajsv
不敢苟同	ajsy
壓鑄	ajth
砸錢	ajtk
百鍊	ajtu
砸鍋	ajtx
壓榨	ajui
不知其二	ajui
壓棧	ajuk
壓根	ajun
厚朴	ajup
百業	ajuq
壓板	ajur
路易斯安那	ajut
不知其可	ajux
厚黑	ajvh
百里	ajvl
厚遇	ajvo
不敢當	ajvv
碩果累累	ajvv
壓服	ajwa
厚賜	ajwj
踢腳	ajwk
厭膩	ajwk
壓腿	ajwn
踢騰	ajwq
壓頂	ajxa
百計	ajxg
厚誼	ajxi
厚謝	ajxi
百變	ajxo
壓彎	ajxo
壓下	ajxx
壓電	ajyb
百特	ajyh
不敢造次	ajyi
百靈	ajyl
壓平	ajyq
壓制	ajyy
砥礪	akaa
百分百	akaj
踐踏	akan
踉蹌	akar
蹂躪	akas
不分軒輊	akbb
原子彈	akbl
百事通	akbs
礦務局	akbt
百感交集	akce
歲初	akcm
百分率	akcn
不分彼此	akda
石子兒	akdd
不分皁白	akdd
不分皂白	akdd
不為所動	akdm
歲收	akdt
不分伯仲	akee
止戈爲武	akef
不為已甚	akeu
原子武器	akfl
不務正業	akfu
不成方圓	akhd
不分青紅皁白	akhd
不分青紅皂白	akhd
不成文	akhe
不成文法	akhn
不成功便成仁	akie
不務空名	akih
趴在	akiu
趴窩	akix
止戈為武	akkf
不留餘地	akkh
不了了之	akko
歲數	aklg
百分數	aklg
不成器	akll
厭食症	akmf
歲序	akmk
百孔千瘡	akmm
跑了和尚跑不了廟	akmm
破釜沉舟	aknd
歲末	aknm
百分之百	akoa
夏威夷	akob
不惑之年	akog
踐約	akow
百分之	akoz
歲首	akqi
不食人間煙火	akrq
歲暮	aksj
原子核	akuh
砥柱	akuk
百分比	akuu
百分點	akvp
不分勝負	akwh
不預則廢	akwm
歲月	akwy
不食周粟	akwy
不成體統	akxo
趴下	akxx
瓦釜雷鳴	akyl
百分制	akyy
不三不四	alad
百戰不殆	alaf
此風不可長	alap
不吐不快	alar
百戰百勝	alaw
百獸率舞	alcg
此唱彼和	aldm
此呼彼應	aldm
百川歸海	aldn
齶裂	alfh
否定	alif
歪風邪氣	aljg
不遺餘力	alks
歷史唯物主義	allq
躁動	almv
否決	alnb
破口大駡	alol
破口大罵	alop
歷史劇	alpg
石嘴山	alps
不喫羊肉空惹一身羶	alqq
不吃羊肉空惹一身羶	alqq
歷史性	alry
百口莫辯	alsg
歷史上	alus
跺腳	alwk
否則	alwm
不鳴則已一鳴驚人	alwr
不耻下問	alxd
不恥下問	alxd
否認	alxm
不疾不徐	amad
不痛不癢	amam
歷歷	amam
踱步	amao
礦砂	amao
礦石	amas
不稂不莠	amas
歷屆	ambh
礦車	ambj
礦層	ambq
母女	amcn
母畜	amcn
不動如山	amcp
不忍卒讀	amcx
百廢待興	amdd
百廢待舉	amdd
母盤	amdl
礦泉	amdn
礦牀	amdu
百廢俱興	amed
母愛	ameh
歷代	amek
母乳	amek
歷任	amem
母雞	amen
礦産	amgg
不動産	amgg
母豬	amgh
歷年	amgj
歷朝	amgj
母音	amgj
母系	amgo
母親	amgu
不動產	amha
礦產	amha
礦坑	amhc
不動聲色	amhh
礦場	amhj
歷久	amhk
歷城	amhk
不利於	amhr
不穩定	amif
礦工	amig
歷次	amih
礦井	amik
母狗	amiw
礦鹽	amjg
歷時	amjh
路透社	amjh
礦區	amjl
礦務	amkg
母子	amkz
歷數	amlg
歷史	amls
礄口	amlv
歷程	amml
礦床	ammu
礦泥	amnb
曆法	amnh
礦渣	amnu
母線	amod
歷經	amof
不毛之地	amoh
歷練	amou
礦長	ampc
歷險	ampr
礦山	amps
毋庸置疑	ampu
歷陳	ampu
礦燈	amqb
礦粉	amqk
母羊	amqy
母后	amrf
礦質	amrr
百科全書	amrv
母性	amry
厚積薄發	amsb
止痛藥	amsd
礦難	amsf
歷世	amsi
歷遭	amsj
礦藏	amsk
原動力	amsl
母鐘	amtg
母校	amuc
母本	amuf
曆本	amuf
母樹	amuh
歷來	amul
礦業	amuq
礦上	amus
母權	amus
歷盡	amvf
曆書	amvh
礦點	amvp
母腹	amwg
踮腳	amwk
礦脉	amwk
礦脈	amwr
母嬰	amww
母語	amxf
不應該	amxh
毋庸諱言	amxx
母體	amxy
礦體	amxy
母牛	amyn
礦物	amyw
跟蹤	anad
原汁原味	anal
踏步	anao
不溫不火	anaq
不温不火	anaq
不能不	anau
不清不楚	anau
泵車	anbj
剝皮	anbp
不能登大雅之堂	anbv
泵房	anch
跟團	andb
踏出	andd
剝開	andf
跟從	andr
破涕爲笑	aneg
跟進	aneo
踏進	aneo
不辱使命	aner
碳水化合物	aney
跟頭	anfl
剝掉	anfp
跟手	anfs
跟打	anfx
歲末年初	angc
泵站	angp
石油氣	angq
剝離	anhd
剝去	anhn
踏青	anhw
踏實	ania
不能自已	anie
不能自拔	anif
跟斗	anig
紫水晶	anjj
跟班	anjq
石河子市	ankc
跟了	anke
破涕為笑	ankg
不法分子	ankk
剝蝕	ankv
石河子	ankz
跟風	anlf
跟單	anll
路漫漫	annj
踏浪	annk
不法之徒	anod
剝奪	anoe
剝光	anol
不治之症	anom
石沉大海	anon
剝削	anow
跟隨	anpi
跟帖	anpp
跟着	anqw
跟前	anqw
跟莊	ansd
跟著	ansh
剝落	ansn
踏勘	anue
柴油機	anun
踏板	anur
踏入	anur
否決權	anus
踏上	anus
不減當年	anvg
剝脫	anwk
跟貼	anwp
剝脱	anwq
跟誰	anxe
跟讀	anxh
剝下	anxx
泵體	anxy
踏平	anyq
踏雪	anyv
不能贊一詞	anyx
破綻百出	aoad
砂礫	aoad
砂礦	aoam
頻頻	aoao
步步	aoao
跨步	aoao
不大不小	aoao
砂石	aoas
步履	aobd
砂層	aobq
砂輪	aobr
頻率	aocn
不絶如縷	aoco
不絕如縷	aoco
跨出	aodd
步出	aodd
步行	aodj
跨行	aodj
跨國	aodk
砂漿	aodw
頻傳	aoeb
頻仍	aoee
砂仁	aoei
步伐	aoek
頻段	aoel
跨進	aoeo
步進	aoeo
硝化	aoeu
不約而同	aoey
不經一事不長一智	aofj
不經一事	aofk
頻繁	aoga
不經意	aogj
跨年	aogj
步韻	aogj
砂箱	aogu
碩大無朋	aogw
彙總表	aohc
跨境	aohg
砂壺	aohh
剝削者	aohj
跨越	aohk
頻域	aohk
不絶於耳	aohl
不絕於耳	aohl
不小於	aohr
砂土	aoht
壓縮空氣	aoig
頻次	aoih
頻密	aoir
頻寬	aois
跨區	aojl
顰蹙	aoku
步子	aokz
頻數	aolg
步哨	aolo
跨度	aoms
頻度	aoms
跨海	aong
步法	aonh
跨洋	aonq
步態	aonw
步測	aonw
跨省	aoog
砂紙	aook
不經之談	aoox
砂岩	aopa
步長	aopc
步幅	aopf
剝削階級	aopo
砂粒	aoqg
頻道	aoqi
砂糖	aoqm
硝煙	aoqy
步兵	aorf
不省人事	aork
步驟	aorl
跨騎	aoro
砂質	aorr
頻帶	aosf
砂鍋	aotx
跨欄	aoud
硝基	aouh
壓縮機	aoun
跨業	aouq
步入	aour
步槍	aour
跨入	aour
跨界	aovr
壓縮包	aowe
不規則	aowm
砂眼	aown
不大可能	aoxn
跨過	aoxo
頻譜	aoxq
步調	aoxw
硝酸	aoyn
蹦跳	apad
不虚此行	apad
不虛此行	apad
不陰不陽	apap
此處不留人自有留人處	apap
蹦迪	apbo
碳刷	apbp
蹦牀	apdu
碳化	apeu
碳素	apho
蹦床	apmu
跋山涉水	apnn
不虞之譽	apod
破除迷信	apqe
碳粉	apqk
紫羅蘭	apsd
碳鋼	apty
蹦極	apuk
砧木	apum
砧板	apur
不置可否	apxa
歷險記	apxe
碳酸	apyn
磁磚	aqab
破爛不堪	aqah
蹉跎	aqai
磷礦	aqam
躑躅	aqap
碰碰	aqaq
磁石	aqas
磁碟	aqas
磁軌	aqbc
碰擊	aqbd
碰壁	aqbl
碰到	aqcm
不差毫釐	aqcn
磋商	aqcq
不道德	aqdg
磁盤	aqdl
勵精圖治	aqdn
磁學	aqds
碰倒	aqec
碰傷	aqeg
不勞而獲	aqei
碰面	aqem
磁化	aqeu
磁條	aqeu
磷化	aqeu
硬着頭皮	aqfb
碰撞	aqfg
碰頭	aqfl
磁頭	aqfl
蹲坑	aqhc
彝族	aqhg
磁鼓	aqhg
磁場	aqhj
碰觸	aqhs
碰巧	aqid
碰瓷	aqih
蹲守	aqik
不着邊際	aqip
磁矩	aqjj
磁環	aqjp
