aaaf 硬碰硬
abos 步履維艱
abov 不登大雅之堂
aboy 破網
abpb 破陣
abpf 壓軸戲
abpf 破陋
abph 破防
abpq 碾平
abpr 破除
abpt 破處
abqd 破爛
abqw 蹬着
abrr 不通人情
abse 破舊
abse 碎屍萬段
absh 破鞋
absh 蹬著
absn 破落
absr 磚茶
abss 步履艱難
absw 破散
absy 破繭
abto 破鈔
abtp 破鑼
abum 磚木
abut 破格
abuw 破相
abvh 破書
abvj 破甲
abvv 跟屁蟲
abwh 磚雕
abwh 破膽
abwk 跛腳
abwk 破財
abwn 蹬腿
abwr 破臉
abwt 破敗
abxp 破譯
abyj 不違農時
acab 不衫不履
acac 碎碎
acad 不亢不卑
acao 碎步
acar 原始碼
acas 碎石
acas 磅礴
acbk 母夜叉
acbo 碎屑
acbr 齒輪
accc 百衲衣
accv 百褶裙
acdp 碎片
acee 齒條
aceu 硫化
acff 百裏挑一
acff 百裡挑一
acfh 碎裂
acfn 不顧死活
acfx 不顧一切
acgf 趾高氣揚
acgj 趾高氣昂
acgv 不好意思
achd 碎塊
achr 不至於
acig 百姓家
acin 碎冰
acir 齒冷
acis 躋身
acjr 原始社會
ackz 磙子
acme 不適應
acmm 孬種
acmo 百媚千紅
acmp 磅秤
acmv 原始積累
acnm 碎末
acok 碎紙
acop 不到之處
acpd 瓦努阿圖
acqc 破衣爛衫
acqi 碎料
acrg 不如人意
acsf 不到黃河心不死
acsi 硫黃
acsi 不好惹
acsp 碎夢
acsw 碎散
actn 碎銀
acun 齒根
acur 石膏板
acuv 原始檔
acxg 碎骨
acyn 硫酸
acyr 碎肉
adab 不得不發
adac 不卑不亢
adad 不聞不問
adae 憂國憂民
adah 蹤跡
adah 不卽不離
adaj 碑碣
adam 不徐不疾
adaq 百問不煩
adar 原碼
adas 礫石
adas 碑石
adat 原路
adau 不得不
adav 跳躍
adaw 百聞不如一見
adbb 跳轉
adbj 跳車
adbj 原車
adbk 跳蚤
adbn 原屬
adbu 原由
adcg 跳高
adcm 原初
adcn 原始
adcp 厦門市
adcx 碑亭
addd 跳出
adde 止回閥
addh 步行街
addh 原裝
addi 原狀
addl 原圖
addo 原因
addp 原片
addq 不出所料
addr 原版
addv 跳閘
addw 原漿
adeg 原作
adeg 原位
adeh 願你
adei 不得已
adej 不得而知
adek 原爲
aden 百舸爭流
adeo 原件
adeo 跳進
adeo 不得已而爲之
adeo 不得已而為之
adeu 破門而入
adey 原價
adfa 碑拓
adfj 百般挑剔
adfl 跳投
adfs 原型
adfs 原形
adgb 原籍
adgd 原貌
adgd 不學無術
adgg 原産
adgj 願意
adgj 原意
adgk 原載
adgo 厲行節約
adgo 厚德載物
adgo 原系
adgs 跳舞
adha 原址
adha 原產
adhb 原聲
adhe 原文
adhe 碑文
adhe 原色
adhe 跳起
adhh 原封
adhj 原地
adhj 跑圓場
adhk 跳越
adhl 原名
adhl 跳臺
adhl 跳遠
adhm 碑刻
adhw 願望
adie 原在
adif 原定
adig 原審
adii 原宥
adii 不復存在
adis 碑身
adiw 原有
adjc 蹤影
adjc 願景
adjf 原是
adjf 原因是
adjq 歪門邪道
adjv 原理
adke 不得了
adkg 百兒八十
adkj 原主
adkk 原為
adkt 跨國公司
adkz 原子
adlg 原職
adlj 原唱
adll 原單
adln 原味
admc 原委
admc 原稿
admm 原種
admm 不關痛癢
admr 不徇私情
admv 跳動
admv 原廠
adnb 原油
adnc 原液
adng 跳海
adnl 跳台
adnm 跳梁
adnn 不間斷
adno 齒白脣紅
adno 齒白唇紅
adns 跳水
adns 礦泉水
adnx 跳河
adob 跳繩
adod 原先
adod 厦門大學
adod 跳線
adoe 跳級
adoh 不白之冤
adok 原紙
adol 原告
ados 原生
adow 原物
adpa 礫岩
adpj 原陽
adpp 跳幀
adpt 原處
adpu 原罪
adqg 原義
adqi 原料
adqj 原判
adqj 原糧
adqo 不得善終
adqs 原煤
adrk 原創
adrm 跳馬
adrr 跳傘
adrr 不得人心
adsd 原藥
adsh 原著
adts 百般刁難
adud 原棉
aduf 原本
aduh 肯德基
aduk 原材
adul 原來
adul 跳樓
adum 原木
adun 原機
aduq 原樣
adur 跳板
adus 跳槽
aduu 碑林
aduu 跳棋
aduw 原想
advk 原野
advp 原點
advt 原田
adwe 原包
adwm 原則
adxc 原諒
adxm 原話
adxo 跳過
adxr 原訴
adxy 原體
adyb 原電
adye 原配
adyf 願同
adyj 跳票
adyr 不得要領
adys 原曲
aeae 不偏不倚
aeae 踩踩
aeah 蹊蹺
aeak 不依不饒
aeal 百依百順
aean 踩踏
aeaq 不倫不類
aeaq 不仁不義
aeas 礁石
aeau 不但不
aeaw 壓而不服
aecm 百貨商店
aedh 此伏彼起
aedj 雁行
aedj 不值得
aedm 不爲所動
aeeg 不以爲意
aeek 不作爲
aeek 原以爲
aeel 不辭而别
aeel 不以爲耻
aeel 不辭而別
aeel 不以爲恥
aeeo 不以爲奇
aees 不僅僅
aeeu 不爲已甚
aeew 不以爲然
aeff 不值一提
aefg 趿拉
aefr 不值一駁
aefu 歪瓜裂棗
aegh 不孚衆望
aegs 不辭辛苦
aegw 蹈襲
aehf 厄瓜多爾
aehh 厄瓜多
aehr 不低於
aehs 雁塔
aeip 不修邊幅
aejp 不信邪
aejq 研修班
aejr 路遥知馬力日久見人心
aekg 不以為意
aekk 不作為
aekk 原以為
aekl 母以子貴
aekl 不以為恥
aekn 不倒翁
aeko 不以為奇
aekw 不以為然
aelf 破傷風
aell 贗品
aemf 不孕症
aemp 百貨店
aeod 不以規矩不成方圓
aepa 礁岩
aepb 雁陣
aeph 不孚眾望
aequ 雁北
aeqw 踩着
aero 壓倒性
aesh 踩著
aesn 硝化甘油
aesn 跳進黃河洗不清
aeuk 不及其餘
aeut 不及格
aevg 不假思索
aevp 踩點
aewk 跥腳
aewn 不進則退
aexm 不像話
aexm 此而可忍孰不可忍
afad 百折不回
afaf 不折不扣
afaf 百折不撓
afaf 不尷不尬
afaf 歪歪
afal 硬齶
afan 不死不活
afaq 硬碰
afas 硬碟
afaw 躡手躡腳
afaw 礙手礙腳
afax 不打不相識
afbb 研發
afbg 硬弓
afbh 硬軟
afbp 硬皮
afbs 硬通
afbx 厄爾尼諾
afdl 硬盤
afdr 硬闖
afea 不一而足
afee 研修
afee 不看僧面看佛面
afeg 硬傷
afei 硬仗
afeo 硬件
afeu 硬化
affe 不擇手段
affl 硬逼
affm 硬挺
affq 硬拼
affq 歪打正着
affs 歪打正著
affu 不拘一格
affv 硬撑
affv 硬撐
afgq 硬氣
afgv 硬筆
afgw 不列顛
afhf 硬殼
afhs 硬解
afia 硬實
afic 研究
afif 不打自招
afif 不一定
afis 硬功
afis 硬塞
afiv 歪躺
afix 不求有功但求無過
afjf 硬是
afjh 此一時
afjj 此一時彼一時
afjp 硬卧
afjr 硬臥
afjv 歪理
afjy 原形畢露
afkd 石頭子兒
afkg 歪才
afkv 硬朗
afld 破折號
aflf 歪風
afll 硬顎
afma 研磨
afmr 硬座
afms 硬度
afns 硬漢
afog 不拘小節
afoh 硬結
afol 不正之風
afom 歪纏
afoy 研製
afqi 歪道
afqp 硬幣
afqs 硬煤
afrf 歪斜
afrf 碰頭會
afrj 硬驅
afro 硬性
afrr 硬質
afsd 研藥
afsh 破天荒
afue 不求上進
afuh 不求甚解
afum 硬木
afuq 不一樣
afuy 硬指標
afvc 不捨晝夜
afvv 研習
afwu 硬脂
afxa 硬頂
afxe 石頭記
afxg 硬骨
afxh 研讀
afxk 研討
afxk 硬說
afxq 硬説
afxy 硬體
afyc 硬要
afyj 不揣冒昧
afys 歪曲
agab 跌破
agac 跌跤
agac 齲齒
agac 不管不顧
agan 不乾不淨
agat 歧路
agav 百年不遇
agaz 跌足
agbs 貫通
agcr 百年好合
agdc 貫徹
agdd 百端待舉
agdd 歧出
agdd 跌出
ageb 彖辭
agec 跌倒
agec 跌停
ageh 百年偕老
agek 不失爲
ageu 歧化
agey 跌價
agfs 百無一用
aggd 母親節
agge 不辨真僞
agge 不辨真偽
aggj 歧意
aggl 厚顔無耻
aggv 母親節
aghr 不等於
agia 跌宕
agij 貫穿
agju 不失時機
agjw 歧視
agki 不等式
agkk 不失為
aglf 不管三七二十一
aglf 跌風
agll 貫串
aglu 百無聊賴
agmk 壓箱底
agms 跨年度
agnb 跌漲
agnk 貫注
agns 跌水
agnw 蠡測
agoc 不無小補
agoc 百年之好
agod 百年之後
agop 跑龍套
agox 百年大計
agpf 跌幅
agqg 歧義
agqj 不無道理
agrf 歧途
agrh 不符合
agsi 歧黃
agsn 跌落
agsu 不辨菽麥
agsv 百年難遇
ague 百無禁忌
agur 不乏其人
agur 百年樹人
agur 跌入
aguu 紫氣東來
aguy 貫標
agvs 歧異
agwj 歧見
agwv 不乾膠
ahab 磕破
ahac 不離不棄
ahae 百毒不侵
ahak 不聲不響
aham 原封不動
ahao 不多不少
ahaq 磕碰
ahar 砝碼
ahas 躊躇
ahau 砍柴
ahbg 歷久彌新
ahcj 不外如是
ahcl 確如
ahcm 砍到
ahcq 止於至善
ahde 此起彼伏
ahdg 不亦樂乎
ahdp 硅片
ahdp 矽片
ahdq 不堪回首
ahdr 破解版
ahds 此起彼落
aheb 磕巴
ahec 跪倒
ahed 破土而出
aheg 確係
ahek 砍伐
ahel 確保
ahes 不教而殺
aheu 彙集
ahex 確信
ahex 不教而誅
ahey 砍價
ahfb 不堪一擊
ahff 跪拜
ahfh 不名一文
ahfh 砍死
ahfl 磕頭
ahfl 砍頭
ahfn 跪求
ahfp 砍掉
ahfp 磕掉
ahfx 磕打
ahgf 此地無銀三百兩
ahgh 不負衆望
ahgl 確立
ahgl 厚顏無恥
ahgq 不外乎
ahgq 確乎
ahgq 碰運氣
ahgq 砍翻
ahgw 彙算
ahhe 不負責任
ahhl 跡象
ahhn 砍去
ahhq 彙報
ahia 確實
ahib 砍割
ahif 確定
ahik 確守
ahin 瓦解冰消
ahiw 確有
ahjb 破壞神
ahjf 確是
ahjh 雁塔題名
ahjl 確知
ahjn 百老匯
ahke 跪了
ahkr 硅谷
ahkr 矽谷
ahmd 砍刀
ahme 確應
ahmh 不堪重負
ahmv 不遠千里
ahnb 硅油
ahnb 矽油
ahnn 砍斷
ahoc 彙編
ahod 彙總
ahod 紫外線
ahok 不急之務
ahol 紫外光
ahol 砍光
ahoo 不解之緣
ahoq 磕絆
ahph 母老虎
ahph 不負眾望
ahqw 不久前
ahqw 跪着
ahsf 原聲帶
ahsh 跪著
ahsn 硅藻
ahsn 矽藻
ahsu 砍殺
ahsv 不遠萬里
ahtg 硅鐵
ahtg 矽鐵
ahty 碳素鋼
ahty 硅鋼
ahty 矽鋼
ahuh 砍樹
ahuh 肯塔基
ahul 不堪入耳
ahuq 確鑿
ahut 願者上鉤
ahut 願者上鈎
ahuw 不堪入目
ahvv 確當
ahwf 矽肺
ahwg 磕睡
ahwh 不吝賜教
ahwi 確然
ahwn 不起眼
ahwu 硅脂
ahwu 矽脂
ahwv 硅膠
ahwv 矽膠
ahxb 確證
ahxj 蹺課
ahxm 確認
ahxm 確切
ahxr 確診
ahxu 不堪設想
ahxx 跪下
ahxx 砍下
aiad 不塞不流不止不行
aiaf 不在此列
aiah 不冷不熱
aiao 止步
aiap 跌宕不羈
aias 石灰石
aias 碗碟
aibj 百安居
aicl 跋扈
aico 百家姓
aicv 碗裏
aicv 碗裡
aida 毋須
aidr 研究所
aiek 止住
aiel 百家爭鳴
aiel 不宣而戰
aier 不寒而慄
aiew 百身何贖
aiey 不二價
aift 百密一疏
aigp 止血
aigq 不在乎
aigq 不客氣
aigr 碗筷
aigu 百寶箱
aihe 跌宕起伏
aihg 止境
aihh 碗壺
aihj 研究者
aihr 止於
aiia 不攻自破
aiic 研究室
aiie 不自在
aiir 毋寧
aijf 不自量
aijs 不自量力
aijw 不容易
aikj 研究成果
aikx 不容分説
aikx 不容分說
ailh 止咳
aili 歲寒三友
ailj 不寧唯是
ailj 止嘔
ailv 碗口
ailw 研究員
aimb 止痛
aimk 碗底
aimq 止癢
aimv 毋庸
aina 跋涉
aind 不二法門
ainj 止渴
ains 不凍港
aiof 硬功夫
aioi 躥紅
aiol 不在少數
aior 壓寨夫人
aios 研究生
aipg 不容置辯
aipi 研究院
aipl 不容置喙
aipu 不容置疑
airf 研究會
airj 不完全
airo 確定性
aisc 石家莊市
aisd 石家莊
aisw 百身莫贖
aiue 不在其位
aiuf 不在其位不謀其政
aiuj 碗櫃
aiuk 確有其事
aium 碗櫥
aiut 碗麪
aiut 碗麵
aiuw 不定期
aiwj 不容忽視
aiwr 破家縣令
aixx 不在話下
aiye 毋需
ajab 砸破
ajac 砸碎
ajac 壓碎
ajad 不知不覺
ajad 不明不白
ajaf 破罐破摔
ajah 此時此刻
ajaj 厚厚
ajaj 不早不晚
ajak 百歲
ajak 壓歲
ajam 踟躕
ajao 百步
ajar 不緊不慢
ajaw 百星不如一月
ajbb 壓軸
ajbj 壓車
ajbj 砸車
ajbm 不知輕重
ajbn 壓強
ajbn 百強
ajbp 厚皮
ajcc 不知就裏
ajcc 不明就裏
ajcc 不知就裡
ajcc 不明就裡
ajcf 不知好歹
ajcm 砸到
ajcm 踢到
ajcn 厭棄
ajco 百姓
ajcu 不敢高攀
ajcy 壓扁
ajda 不明覺厲
ajdd 百出
ajdf 不知所措
ajdf 砸開
ajdh 厚待
ajdh 砸毀
ajdi 不知所云
ajdi 砸毁
ajdi 百兆
ajdk 百閱
ajdl 百般
ajdl 壓船
ajdl 壓盤
ajdm 砸門
ajdn 不敢問津
ajdn 百樂
ajdo 壓迫
ajdo 不知所終
ajdq 百閲
ajds 厭學
ajds 破題兒第一遭
ajec 壓倒
ajee 壓條
ajeg 百倍
ajeg 百億
ajeg 砸傷
ajeh 厚愛
ajeh 百佳
ajei 碩果僅存
ajek 壓低
ajek 壓住
ajek 百代
ajen 不知進退
ajeq 厭倦
ajeu 百貨
ajeu 壓貨
ajey 壓價
ajfa 不知天高地厚
ajfc 壓擠
ajfh 砸死
ajfk 壓抑
ajfl 百元
ajfn 不知死活
ajfo 百天
ajfp 砸掉
ajfs 百搭
ajfu 厭惡
ajfx 踢打
ajfy 百麗
ajgg 壓産
ajgg 厚顔
ajgi 百十
ajgj 百年
ajgj 厚意
ajgj 壓韻
ajgl 百部
ajgq 不景氣
ajha 不敢越雷池一步
ajha 壓產
ajha 厚顏
ajhc 砸壞
ajhd 距離
ajhd 不知去向
ajhe 百色
ajhf 不是冤家不聚頭
ajhh 百多
ajhj 足球場
ajhj 壓塌
ajhl 百名
ajho 壓垮
ajhp 不知者不罪
ajhw 厚望
ajhx 足智多謀
ajia 厚實
ajib 百官
ajig 百家
ajih 百次
ajij 壓寶
ajis 足球賽
ajjf 踢球
ajjf 百福
ajjf 壓題
ajjh 百曉
ajjn 百匯
ajjr 百日
ajjx 歪理邪説
ajjx 歪理邪說
ajjy 厚禮
ajke 砸了
ajke 踢了
ajkg 不影響
ajkl 百事
ajkm 百分
ajkr 百餘
ajks 厭食
ajkt 百盛
ajlc 百川
ajld 不是味兒
ajlh 百日咳
ajll 齜牙咧嘴
ajll 厭戰
ajll 百獸
ajll 百戰
ajln 不知凡幾
ajln 百聯
ajmb 壓庫
ajmb 壓痛
ajmf 百病
ajmi 百科
ajmm 厚利
ajmn 壓痕
ajms 厚度
ajms 百度
ajmv 厚重
ajnn 壓斷
ajnw 百態
ajod 不祥之兆
ajod 壓線
ajod 不智之舉
ajod 不時之須
ajog 百日維新
ajoh 壓紋
ajoh 百特
ajoi 壓縮
ajoi 不敢造次
ajok 厚紙
ajor 踢給
ajox 不易之論
ajoy 壓制
ajoy 不時之需
ajoy 百納
ajpb 壓陣
ajpq 足球隊
ajpq 壓平
ajpq 壓隊
ajps 石景山
ajpt 壓降
ajqa 厭煩
ajqd 砸爛
ajqi 厚道
ajqi 不知道
ajqj 踢爆
ajqm 百米
ajqq 夏日炎炎
ajqw 壓着
ajre 砸人
ajrh 百合
ajrh 百忙
ajrk 距今
ajrk 百念
ajrr 原班人馬
ajse 百花
ajse 厭舊
ajsf 厚葬
ajsh 壓蓋
ajsh 壓著
ajsi 厭世
ajsi 百世
ajsj 百草
ajsl 壓力
ajsn 厚薄
ajsr 厚古薄今
ajss 百葉
ajsv 百萬
ajsy 不敢苟同
ajth 壓鑄
ajtk 砸錢
ajtn 百鳥
ajtu 百鍊
ajtx 砸鍋
ajui 壓榨
ajui 不知其二
ajuk 壓棧
ajun 壓根
ajup 厚朴
ajuq 百業
ajur 壓板
ajut 路易斯安那
ajux 不知其可
ajvh 厚黑
ajvl 百里
ajvo 厚遇
ajvv 不敢當
ajvv 碩果累累
ajwa 壓服
ajwj 厚賜
ajwk 踢腳
ajwk 厭膩
ajwn 壓腿
ajwq 踢騰
ajxa 壓頂
ajxg 百計
ajxi 厚誼
ajxi 厚謝
ajxo 百變
ajxo 壓彎
ajxx 壓下
ajyb 壓電
ajyl 百靈
akaa 砥礪
akaj 百分百
akan 踐踏
akar 踉蹌
akas 蹂躪
akbb 不分軒輊
akbl 原子彈
akbs 百事通
akbt 礦務局
akce 百感交集
akcm 歲初
akcn 百分率
akda 不分彼此
akdd 石子兒
akdd 不分皁白
akdd 不分皂白
akdm 不為所動
akdt 歲收
akee 不分伯仲
akef 止戈爲武
akeu 不為已甚
akfl 原子武器
akfu 不務正業
akhd 不成方圓
akhd 不分青紅皁白
akhd 不分青紅皂白
akhe 不成文
akhn 不成文法
akie 趴在
akie 不成功便成仁
akih 不務空名
akix 趴窩
akkf 止戈為武
akkh 不留餘地
akko 不了了之
aklg 歲數
aklg 百分數
akll 不成器
akmf 厭食症
akmk 歲序
akmm 百孔千瘡
akmm 跑了和尚跑不了廟
aknd 破釜沉舟
aknm 歲末
akoa 百分之百
akob 夏威夷
akog 不惑之年
akow 踐約
akoy 百分制
akoz 百分之
akqi 歲首
akrq 不食人間煙火
aksj 歲暮
akuh 原子核
akuk 砥柱
akuu 百分比
akvp 百分點
akwh 不分勝負
akwm 不預則廢
akwy 歲月
akwy 不食周粟
akxo 不成體統
akxx 趴下
akyl 瓦釜雷鳴
alad 不三不四
alaf 百戰不殆
alap 此風不可長
alar 不吐不快
alaw 百戰百勝
alcg 百獸率舞
aldm 此唱彼和
aldm 此呼彼應
aldn 百川歸海
alfh 齶裂
alif 否定
aljg 歪風邪氣
alks 不遺餘力
allq 歷史唯物主義
almv 躁動
alnb 否決
alol 破口大駡
alop 破口大罵
alpg 歷史劇
alps 石嘴山
alqq 不喫羊肉空惹一身羶
alqq 不吃羊肉空惹一身羶
alro 歷史性
alsg 百口莫辯
alus 歷史上
alwk 跺腳
alwm 否則
alwr 不鳴則已一鳴驚人
alxd 不耻下問
alxd 不恥下問
alxm 否認
amad 不疾不徐
amam 不痛不癢
amam 歷歷
amao 踱步
amao 礦砂
amas 礦石
amas 不稂不莠
ambh 歷屆
ambj 礦車
ambq 礦層
amcn 母女
amcn 母畜
amcp 不動如山
amcx 不忍卒讀
amdd 百廢待興
amdd 百廢待舉
amdl 母盤
amdn 礦泉
amdu 礦牀
amed 百廢俱興
ameh 母愛
amek 歷代
amek 母乳
amem 歷任
amen 母雞
amgg 礦産
amgg 不動産
amgh 母豬
amgj 歷年
amgj 歷朝
amgj 母音
amgo 母系
amgu 母親
amha 不動產
amha 礦產
amhc 礦坑
amhh 不動聲色
amhj 礦場
amhk 歷久
amhk 歷城
amhr 不利於
amif 不穩定
amig 礦工
amih 歷次
amik 礦井
amiw 母狗
amjg 礦鹽
amjh 歷時
amjh 路透社
amjl 礦區
amkg 礦務
amkz 母子
amlg 歷數
amls 歷史
amlv 礄口
amml 歷程
ammu 礦床
amnb 礦泥
amnh 曆法
amnu 礦渣
amod 母線
amof 歷經
amoh 不毛之地
amon 母牛
amou 歷練
amow 礦物
ampc 礦長
ampr 歷險
amps 礦山
ampu 毋庸置疑
ampu 歷陳
amqb 礦燈
amqk 礦粉
amqy 母羊
amrf 母后
amro 母性
amrr 礦質
amrv 百科全書
amsb 厚積薄發
amsd 止痛藥
amsf 礦難
amsi 歷世
amsj 歷遭
amsk 礦藏
amsl 原動力
amtg 母鐘
amuc 母校
amuf 母本
amuf 曆本
amuh 母樹
amul 歷來
amuq 礦業
amus 礦上
amus 母權
amvf 歷盡
amvh 曆書
amvp 礦點
amwg 母腹
amwk 踮腳
amwk 礦脉
amwr 礦脈
amww 母嬰
amxf 母語
amxh 不應該
amxx 毋庸諱言
amxy 母體
amxy 礦體
anad 跟蹤
anal 原汁原味
anao 踏步
anaq 不溫不火
anaq 不温不火
anau 不能不
anau 不清不楚
anbj 泵車
anbp 剝皮
anbv 不能登大雅之堂
anch 泵房
andb 跟團
andd 踏出
andf 剝開
andr 跟從
aneg 破涕爲笑
aneo 跟進
aneo 碳水化合物
aneo 踏進
aner 不辱使命
anfl 跟頭
anfp 剝掉
anfs 跟手
anfx 跟打
angc 歲末年初
angp 泵站
angq 石油氣
anhd 剝離
anhn 剝去
anhw 踏青
ania 踏實
anie 不能自已
anif 不能自拔
anig 跟斗
anjj 紫水晶
anjq 跟班
ankc 石河子市
anke 跟了
ankg 破涕為笑
ankk 不法分子
ankv 剝蝕
ankz 石河子
anlf 跟風
anll 跟單
annj 路漫漫
annk 踏浪
anod 不法之徒
anoe 剝奪
anol 剝光
anom 不治之症
anon 石沉大海
anow 剝削
anox 不能贊一詞
anpi 跟隨
anpp 跟帖
anpq 踏平
anqw 跟着
anqw 跟前
ansd 跟莊
ansh 跟著
ansn 剝落
anue 踏勘
anun 柴油機
anur 踏板
anur 踏入
anus 否決權
anus 踏上
anvg 不減當年
anwk 剝脫
anwp 跟貼
anwq 剝脱
anxe 跟誰
anxh 跟讀
anxx 剝下
anxy 泵體
anyv 踏雪
aoad 破綻百出
aoad 砂礫
aoam 砂礦
aoao 頻頻
aoao 硃砂
aoao 步步
aoao 跨步
aoao 不大不小
aoas 砂石
aobd 步履
aobq 砂層
aobr 砂輪
aocn 頻率
aoco 不絶如縷
aoco 不絕如縷
aodd 跨出
aodd 步出
aodj 步行
aodj 跨行
aodk 跨國
aodw 砂漿
aoeb 頻傳
aoee 頻仍
aoei 砂仁
aoek 步伐
aoel 頻段
aoeo 跨進
aoeo 步進
aoeu 硝化
aoey 不約而同
aofj 不經一事不長一智
aofk 不經一事
aofu 硃批
aoga 頻繁
aogj 不經意
aogj 跨年
aogj 步韻
aogu 砂箱
aogv 硃筆
aogw 碩大無朋
aohc 彙總表
aohg 跨境
aohh 砂壺
aohj 剝削者
aohk 跨越
aohk 頻域
aohl 不絶於耳
aohl 不絕於耳
aohr 不小於
aoht 砂土
aoig 壓縮空氣
aoih 頻次
aoir 頻密
aois 頻寬
aojl 跨區
aoku 顰蹙
aokz 步子
aolg 頻數
aolo 步哨
aoms 跨度
aoms 頻度
aong 跨海
aonh 步法
aonq 跨洋
aonw 步態
aonw 步測
aoog 跨省
aooi 硃紅
aook 砂紙
aoos 硬生生
aoox 不經之談
aopa 砂岩
aopc 步長
aopf 步幅
aopo 剝削階級
aoqg 砂粒
aoqi 頻道
aoqm 砂糖
aoqy 硝煙
aorf 步兵
aork 不省人事
aorl 步驟
aoro 跨騎
aorr 礦物質
aorr 砂質
aosf 頻帶
aotx 砂鍋
aoud 跨欄
aouh 硝基
aoun 壓縮機
aouq 跨業
aour 步入
aour 步槍
aour 跨入
aovr 跨界
aowe 壓縮包
aowm 不規則
aown 砂眼
aoxn 不大可能
aoxo 跨過
aoxq 頻譜
aoxw 步調
aoyn 硝酸
apad 蹦跳
apad 不虚此行
apad 不虛此行
apap 不陰不陽
apap 此處不留人自有留人處
apas 矸石
apbo 蹦迪
apbp 碳刷
apdu 蹦牀
apeu 碳化
aphl 跨平臺
apho 碳素
apmu 蹦床
apnl 跨平台
apnn 跋山涉水
apod 不虞之譽
apox 不刊之論
apqe 破除迷信
apqk 碳粉
apsd 紫羅蘭
apty 碳鋼
apuk 蹦極
apum 砧木
apur 砧板
apwi 砰然
apwl 不平則鳴
apxa 不置可否
apxe 歷險記
apyn 碳酸
aqab 磁磚
aqah 破爛不堪
aqai 蹉跎
aqam 磷礦
aqap 躑躅
aqaq 碰碰
aqas 磁石
aqas 磁碟
aqbc 磁軌
aqbd 碰擊
aqbl 碰壁
aqcm 碰到
aqcn 不差毫釐
aqcq 磋商
aqdg 不道德
aqdl 磁盤
aqdn 勵精圖治
aqds 磁學
aqec 碰倒
aqee 磁條
aqeg 碰傷
aqei 不勞而獲
aqem 碰面
aqeu 磁化
aqeu 磷化
aqfb 硬着頭皮
aqfg 碰撞
aqfl 碰頭
aqfl 磁頭
aqhc 蹲坑
aqhg 彝族
aqhg 磁鼓
aqhj 磁場
aqhs 碰觸
aqid 碰巧
aqih 碰瓷
aqik 蹲守
aqip 不着邊際
aqjj 磁矩
aqjp 磁環
aqjs 磁暴
