aaaf 硬碰硬
abqw 蹬着
abrg 不尽人意
abrr 不通人情
absh 破鞋
absi 破获
absn 破落
absv 破茧
absw 破散
abtb 破译
abtp 破处
abtt 破书
abuc 码长
abuf 码本
abut 破格
abuw 破相
abvc 跟屁虫
abvj 破甲
abwh 跛脚
abwi 不尽然
abwj 破胆
abwn 蹬腿
abwr 破脸
abxj 破车
abxm 破门
abyk 破财
abys 破网
abyt 破败
acab 不衫不履
acac 碎碎
acad 不亢不卑
acao 碎步
acas 碎石
acas 磅礴
acbk 母夜叉
acbo 碎屑
accc 百衲衣
accv 百褶裙
acdp 碎片
aceu 硫化
acfh 碎裂
acfk 不至于
acgf 趾高气扬
acgj 趾高气昂
acgv 不好意思
achb 碎块
acig 百姓家
acin 碎冰
acjr 原始社会
ackk 碎纸
ackz 磙子
acmk 百媚千红
acml 孬种
acmp 磅秤
acmv 原始积累
acnm 碎末
acon 碎银
acot 不到之处
acpd 瓦努阿图
acqc 破衣烂衫
acqi 碎料
acrg 不如人意
acsb 硫黄
acsf 不到黄河心不死
acsi 不好惹
acsw 碎散
acur 石膏板
acuu 碎梦
acxg 碎骨
acyn 硫酸
acyr 碎肉
adab 原码
adac 不卑不亢
adad 不得不发
adah 原厂
adaj 碑碣
adal 百发百中
adam 跳跃
adam 不徐不疾
adas 碑石
adat 原路
adau 不得不
adbd 原电
adbg 原属
adbk 跳蚤
adbm 跳马
adbu 原由
adcg 跳高
adcm 原初
adcn 原始
adcx 碑亭
addd 跳出
addh 步行街
addo 原因
addp 原片
addq 不出所料
addr 原版
addt 原图
adeg 原作
adeg 原位
adeh 愿你
adei 不得已
adej 不得而知
adeo 原件
adeo 不得已而为之
ader 原价
adeu 原体
adfa 碑拓
adfj 百般挑剔
adfl 跳远
adfl 跳投
adfq 原来
adfs 原型
adfs 原形
adgb 原籍
adgd 原貌
adgg 原产
adgj 愿意
adgj 原意
adgk 原载
adgo 厚德载物
adgo 原系
adgs 跳舞
adha 原址
adhb 原声
adhe 原文
adhe 碑文
adhe 原色
adhe 跳起
adhh 原封
adhj 原地
adhk 跳越
adhl 原名
adhm 碑刻
adhn 百舸争流
adht 跑圆场
adhw 愿望
adib 原审
adie 原在
adif 原定
adii 原宥
adik 跳进
adin 跳动
adis 碑身
adiw 原有
adjc 愿景
adjf 原是
adjf 原因是
adjv 原理
adke 不得了
adke 跳级
adkf 跳线
adkg 百儿八十
adkj 原主
adkk 原纸
adkl 跳绳
adko 跳过
adks 原为
adks 原义
adkt 跨国公司
adkz 原子
adlj 原唱
adll 原职
adln 原味
admc 原委
admc 原稿
adml 原种
admr 不徇私情
adnb 原油
adnc 原液
adng 跳海
adnk 齿白唇红
adnl 跳台
adnm 跳梁
adns 跳水
adns 矿泉水
adnx 跳河
adod 原先
adoh 不白之冤
adol 原告
ados 原生
adow 原物
adpj 原阳
adpl 原点
adpp 跳帧
adpu 原罪
adqh 原装
adqh 原浆
adqi 原料
adqi 原状
adqj 原判
adqj 原单
adqk 原粮
adqk 不得善终
adqs 原煤
adra 原创
adrq 跳伞
adrr 不得人心
adsh 原著
adsk 厉行节约
adsk 原药
adtb 百般刁难
adtc 原谅
adtm 原话
adtp 原处
adtr 原诉
adud 原棉
aduf 原本
aduh 肯德基
aduk 原材
adul 原机
adum 原木
aduq 原样
aduq 跳楼
adur 跳板
adus 跳槽
aduu 碑林
aduu 跳棋
aduw 原想
advk 原野
advt 原田
adwe 原包
adxe 止回阀
adxi 跳转
adxj 跳车
adxj 原车
adxv 跳闸
adye 原配
adyf 愿同
adyj 跳票
adym 原则
adyr 不得要领
adys 原曲
aeae 不偏不倚
aeae 踩踩
aeah 不依不饶
aeak 不仁不义
aeal 百依百顺
aean 踩踏
aeaq 不伦不类
aear 不紧不慢
aeas 礁石
aeau 不但不
aeaw 压而不服
aeax 蹊跷
aecm 百货商店
aedh 此伏彼起
aedj 雁行
aedj 不值得
aeeb 不仅仅
aefb 不值一驳
aeff 不值一提
aefg 趿拉
aefg 蹈袭
aefk 不低于
aefu 歪瓜裂枣
aegg 破旧立新
aehh 厄瓜多尔
aehs 雁塔
aejp 不信邪
aejq 研修班
aejr 路遥知马力日久见人心
aekg 不以为意
aekl 不以为耻
aekl 母以子贵
aekn 不倒翁
aeko 不以为奇
aeks 不作为
aeks 原以为
aekw 不以为然
aell 赝品
aels 破伤风
aemc 卫健委
aemf 不孕症
aemp 百货店
aeod 不以规矩不成方圆
aepa 礁岩
aepl 踩点
aepx 雁阵
aequ 雁北
aeqw 踩着
aerh 不孚众望
aero 压倒性
aesn 硝化甘油
aesp 不修边幅
aetm 不像话
aeur 不及其余
aeut 不及格
aevg 不假思索
aexm 此而可忍孰不可忍
afad 百折不回
afaf 不折不扣
afaf 百折不挠
afaf 不尴不尬
afaf 厨卫
afaf 歪歪
afan 践踏
afan 不死不活
afaq 硬碰
afat 不打不相识
afaw 蹑手蹑脚
afaw 碍手碍脚
afbg 硬弓
afbj 硬驱
afbp 硬皮
afbs 卫通
afbs 硬通
afca 原来如此
afcc 卫衣
afch 厨房
afck 厨娘
afcq 止于至善
afdb 研发
afdg 厉鬼
afdj 卫国
afdp 硬盘
afea 不一而足
afee 研修
afee 不看僧面看佛面
afeg 硬伤
afei 硬仗
afeo 硬件
afeu 硬化
afeu 硬体
affa 卫报
affc 卫护
affe 不择手段
affl 硬逼
affm 硬挺
affq 硬拼
affq 歪打正着
affs 百无一用
affu 不拘一格
affv 硬撑
affv 不远万里
afgl 百鸟朝凤
afgm 硬笔
afgp 硬币
afgq 硬气
afgw 不列颠
afhb 厉声
afhe 厉色
afhh 硬壳
afhl 百鸟争鸣
afhr 励志
afhs 卫士
afhs 硬解
afib 厉害
afic 研究
afif 不打自招
afif 不一定
afii 硬实
afik 百万富翁
afik 不求有功但求无过
afis 硬功
afis 硬塞
afiv 歪躺
afjb 厨神
afjf 硬是
afjj 此一时彼一时
afjk 此一时
afjo 卫星
afjp 硬卧
afjv 歪理
afjy 卫视
afkg 歪才
afkh 硬结
afkk 卫戍
afkm 歪缠
afkv 硬朗
afkw 践约
afkz 厨子
afld 破折号
afls 歪风
aflu 百无聊赖
afma 研磨
afmr 硬座
afms 硬度
afmv 不远千里
afmv 卫康
afnb 硬汉
afnk 卫浴
afoc 不无小补
afol 不正之风
afop 跑龙套
afos 卫生
afos 不拘小节
afoy 研制
afpr 卫队
afqf 厨师
afqi 卫道
afqi 歪道
afqi 卫兰
afqj 不无道理
afqs 硬煤
afrf 卫兵
afrf 歪斜
afrg 硬质
afro 硬性
afsh 破天荒
afsk 研药
afst 厨艺
aftg 研读
aftk 研讨
aftq 硬说
aftr 百万买宅千万买邻
afuc 卫校
afue 百无禁忌
afuh 不求甚解
afui 不求上进
afuj 硬指标
afuj 厨柜
afum 硬木
afuq 不一样
afuy 原形毕露
afvx 研习
afwk 厨具
afwl 硬腭
afwu 硬脂
afxa 硬顶
afxb 硬闯
afxg 硬骨
afxh 硬软
afxo 卫东
afyc 硬要
afyi 卫冕
afyj 不揣冒昧
afys 歪曲
agaa 不管不顾
agab 跌破
agac 跌跤
agat 歧路
agav 百年不遇
agaz 跌足
agbs 贯通
agbv 百年难遇
agcr 百年好合
agdd 歧出
agdd 跌出
agdn 百端待举
agdx 贯彻
agec 跌倒
agec 跌停
ageh 百年偕老
ager 跌价
ages 歧异
ageu 歧化
agfk 不等于
agfl 厚颜无耻
agge 不辨真伪
aggj 歧意
agia 跌宕
agii 不复存在
agij 贯穿
agju 不失时机
agjy 歧视
agki 不等式
agks 不失为
agks 歧义
aglf 不管三七二十一
agll 贯串
agls 跌风
agmg 彖辞
agmk 压箱底
agms 跨年度
agnb 跌涨
agnk 贯注
agnp 还我河山
agns 跌水
agny 蠡测
agoc 百年之好
agor 百年之后
agot 百年大计
agpf 跌幅
agrf 歧途
agrh 不符合
agsa 母亲节
agsb 歧黄
agsh 不辨菽麦
agsn 跌落
aguj 贯标
agur 不乏其人
agur 百年树人
agur 跌入
agxf 紫气东来
agyj 歧见
ahab 砝码
ahab 磕破
ahac 压碎
ahac 不离不弃
ahae 百毒不侵
ahai 原封不动
ahal 不声不响
aham 厂矿
ahao 不多不少
ahaq 磕碰
ahau 砍柴
ahbd 压电
ahbg 历久弥新
ahbl 压强
ahbt 厄尔尼诺
ahch 厂房
ahcj 不外如是
ahcl 确如
ahcm 砍到
ahcq 厂商
ahcy 压扁
ahdd 厂牌
ahde 此起彼伏
ahdl 压船
ahdo 压迫
ahdp 硅片
ahdp 压盘
ahdq 不堪回首
ahdr 破解版
ahds 此起彼落
aheb 磕巴
ahec 压倒
ahec 跪倒
ahed 破土而出
ahek 砍伐
ahek 压低
ahek 压住
ahel 确保
aher 压价
aher 砍价
ahes 不教而杀
ahet 不教而诛
aheu 压货
ahex 确信
ahff 跪拜
ahff 此地无银三百两
ahfh 不名一文
ahfh 砍死
ahfh 压挤
ahfj 不堪一击
ahfk 压抑
ahfn 跪求
ahfp 砍掉
ahfp 磕掉
ahfx 磕打
ahgg 压产
ahgj 压韵
ahgl 确立
ahgo 确系
ahgq 不外乎
ahgq 确乎
ahgq 砍翻
ahha 厂址
ahhb 压弯
ahhe 不负责任
ahhf 厂方
ahhj 压塌
ahhn 砍去
ahho 压垮
ahhp 厂外
ahib 砍割
ahif 确定
ahig 厂家
ahii 确实
ahij 压宝
ahik 确守
ahin 瓦解冰消
ahio 磕头
ahio 砍头
ahis 跻身
ahiw 确有
ahjb 破坏神
ahjf 确是
ahjf 压题
ahjh 雁塔题名
ahjl 确知
ahjs 厂区
ahke 跪了
ahkf 紫外线
ahkf 压线
ahkg 不亦乐乎
ahkh 压纹
ahki 压缩
ahkq 磕绊
ahkr 硅谷
ahkz 厂子
ahls 厂史
ahmb 压痛
ahmd 砍刀
ahmh 不堪重负
ahmn 确应
ahmn 压痕
ahmx 压库
ahnb 硅油
ahnj 百老汇
ahob 压铸
ahog 硅铁
ahok 不解之缘
ahol 紫外光
ahol 砍光
ahot 不急之务
ahov 确当
ahoy 压制
ahoy 厂规
ahoy 碳素钢
ahoy 硅钢
ahph 母老虎
ahph 压岁
ahpq 压平
ahpr 压队
ahpt 压降
ahpx 压阵
ahqe 砍断
ahqe 压断
ahqp 压盖
ahqw 不久前
ahqw 压着
ahqw 跪着
ahrh 不负众望
ahsh 原声带
ahsl 压力
ahsn 硅藻
ahsu 砍杀
ahtf 确证
ahtr 确认
ahtr 确诊
ahts 厂务
ahtu 不堪设想
ahtu 压条
ahub 砍树
ahuc 厂长
ahuf 压栈
ahuh 肯塔基
ahui 压榨
ahul 不堪入耳
ahun 压根
ahuo 愿者上钩
ahuq 确凿
ahur 压板
ahuw 不堪入目
ahuw 厂棚
ahvk 顾名思义
ahvl 厂里
ahwa 压服
ahwc 硅胶
ahwf 矽肺
ahwg 磕睡
ahwi 确然
ahwn 不起眼
ahwn 压腿
ahwu 硅脂
ahxa 压顶
ahxb 压轴
ahxj 压车
ahxm 确切
ahxx 跪下
ahxx 砍下
ahxx 压下
ahyh 不吝赐教
ahyr 厂内
aiad 不塞不流不止不行
aiaf 不冷不热
aiaf 不在此列
aiah 砖厂
aiao 止步
aiap 跌宕不羁
aias 砖石
aias 石灰石
aias 碗碟
aiaw 砖瓦
aibj 百安居
aicl 跋扈
aicn 厌弃
aico 百家姓
aicp 不动如山
aida 毋须
aidr 研究所
aiej 厌旧
aiek 止住
aiem 碗面
aiep 不宣而战
aieq 厌倦
aier 不二价
aiey 不寒而栗
aiey 百身何赎
aifk 止于
aift 百密一疏
aigg 不动产
aigp 止血
aigq 碰运气
aigq 不在乎
aigq 不客气
aigr 碗筷
aigu 百宝箱
aihb 砖块
aihe 跌宕起伏
aihg 止境
aihg 砖墙
aihh 不动声色
aihh 碗壶
aihj 研究者
aihl 百家争鸣
aiho 踪迹
aiia 不攻自破
aiic 研究室
aiie 不自在
aiie 顾左右而言他
aiij 砖窑
aiio 砖头
aiix 毋宁
aijc 踪影
aijf 不自量
aijs 不自量力
aijw 不容易
aikd 石头子儿
aiki 蹿红
aikj 研究成果
aiks 厌食
aikt 不容分说
ailh 止咳
ailj 不宁唯是
ailj 止呕
ailq 厌恶
ailv 碗口
aily 研究员
aimb 止痛
aimc 石家庄市
aimh 石家庄
aimk 碗底
aimq 止痒
aimv 毋庸
aina 跋涉
ainh 厌学
ainj 止渴
ainj 砖混
ains 不冻港
ainx 不二法门
aiof 硬功夫
aiog 不减当年
aioq 不在少数
aior 压寨夫人
aios 研究生
aipg 不容置辩
aipi 研究院
aipl 厌战
aipl 不容置喙
aipu 不容置疑
aiqa 厌烦
airi 碰头会
airi 研究会
airj 不完全
airo 确定性
aisi 厌世
aisl 原动力
aisn 跳进黄河洗不清
aisr 砖茶
aisy 百身莫赎
aite 石头记
aitx 不在话下
aiua 碗橱
aiub 否决权
aiue 不在其位
aiuf 不在其位不谋其政
aiuj 碗柜
aiuk 确有其事
aium 砖木
aiuw 不定期
aivl 碗里
aiwh 砖雕
aiwj 不容忽视
aiwk 厌腻
aiwr 破家县令
aiye 毋需
aiyn 不进则退
ajaa 踟蹰
ajab 砸破
ajac 砸碎
ajad 不明不白
ajaf 破罐破摔
ajah 此时此刻
ajaj 厚厚
ajaj 不早不晚
ajan 不知不觉
ajao 百步
ajaw 百星不如一月
ajbe 卫星通信
ajbl 百强
ajbp 厚皮
ajcf 不知好歹
ajcm 砸到
ajcm 踢到
ajco 百姓
ajcv 不知就里
ajcv 不明就里
ajdd 百出
ajdf 不知所措
ajdh 厚待
ajdi 不知所云
ajdi 砸毁
ajdi 百兆
ajdk 不知所终
ajdl 百般
ajds 破题儿第一遭
ajeg 百倍
ajeg 砸伤
ajeh 厚爱
ajeh 百佳
ajei 硕果仅存
ajek 百代
ajet 百亿
ajeu 百货
ajfa 不知天高地厚
ajfh 砸死
ajfk 碍于
ajfl 百元
ajfn 不知死活
ajfn 百鸟
ajfo 百天
ajfp 砸掉
ajfs 碍手
ajfs 砸开
ajfs 百搭
ajfw 百万
ajfx 踢打
ajfy 百丽
ajgg 厚颜
ajgi 百十
ajgj 百年
ajgj 厚意
ajgl 百部
ajgq 不景气
ajha 砸坏
ajhb 百变
ajhd 距离
ajhd 不知去向
ajhe 百色
ajhh 百多
ajhi 不是冤家不聚头
ajhj 不违农时
ajhl 百名
ajhp 不知者不罪
ajht 足智多谋
ajht 足球场
ajhw 厚望
ajib 百官
ajig 百家
ajih 百次
ajii 厚实
ajin 不知进退
ajir 顾影自怜
ajis 足球赛
ajje 厚礼
ajjf 踢球
ajjf 百福
ajjr 百日
ajjt 歪理邪说
ajjx 百晓
ajke 砸了
ajke 踢了
ajkg 百日维新
ajkk 厚纸
ajkl 碍事
ajkl 百事
ajkm 百分
ajko 百乐
ajkr 踢给
ajkt 百盛
ajky 百纳
ajlc 百川
ajld 不是味儿
ajld 不影响
ajlg 百叶
ajlh 百日咳
ajll 龇牙咧嘴
ajll 不知凡几
ajlq 百联
ajlv 碍口
ajmf 百病
ajmi 百科
ajmm 厚利
ajms 厚度
ajms 百度
ajmv 厚重
ajna 不明觉厉
ajnj 百汇
ajod 不祥之兆
ajod 不时之须
ajof 砸钱
ajoh 百特
ajok 百态
ajol 砸锅
ajon 不智之举
ajot 不易之论
ajoy 不时之需
ajph 百岁
ajpl 百战
ajpr 足球队
ajps 石景山
ajqi 厚道
ajqi 不知道
ajqj 踢爆
ajqm 百米
ajqq 砸烂
ajqq 夏日炎炎
ajqv 百兽
ajqw 碍着
ajqx 百炼
ajrb 原班人马
ajre 砸人
ajrf 百余
ajrh 百合
ajrh 百忙
ajrk 距今
ajrk 百念
ajse 百花
ajsf 厚葬
ajsi 百世
ajsj 百草
ajsn 厚薄
ajsr 厚古薄今
ajtg 百计
ajti 厚谊
ajti 厚谢
ajue 百业
ajui 不知其二
ajup 厚朴
ajut 路易斯安那
ajux 不知其可
ajvh 厚黑
ajvl 百里
ajvo 厚遇
ajvq 百灵
ajvv 硕果累累
ajwh 踢脚
ajwn 碍眼
ajwq 踢腾
ajxj 砸车
ajxm 不知轻重
ajxm 砸门
ajxq 百阅
ajyj 厚赐
akaa 砥砺
akad 破绽百出
akaj 百分百
akar 踉跄
akas 蹂躏
akas 砾石
akbq 原子弹
akbs 百事通
akce 百感交集
akck 不绝如缕
akcn 百分率
akda 不分彼此
akdd 不分皂白
akde 石子儿
akdi 不为所动
akdk 还乡团
akee 不分伯仲
akek 不成体统
akeu 不为已甚
akey 不约而同
akfj 不经一事不长一智
akfk 不经一事
akfl 不绝于耳
akfl 原子武器
akfm 雁过拔毛
akfq 跑过来
akgj 不经意
akhd 不成方圆
akhd 不分青红皂白
akhe 不成文
akhh 不过尔尔
akhn 不成文法
akhs 不了解
akht 碱土
akie 趴在
akie 不成功便成仁
akig 压缩空气
akil 趴窝
akjs 卫戍区
akkf 止戈为武
akkh 雁过留声
akko 不了了之
akll 不成器
akmf 厌食症
akmm 百孔千疮
akmm 跑了和尚跑不了庙
aknd 破釜沉舟
akoa 百分之百
akob 夏威夷
akog 不惑之年
akot 不经之谈
akoy 不义之财
akoy 百分制
akoz 百分之
akpa 砾岩
akpl 百分点
akqc 百分数
akrh 不留余地
akro 碱性
akrq 不食人间烟火
akuh 原子核
akuk 砥柱
akul 压缩机
akuu 百分比
akwe 压缩包
akwh 不分胜负
akwy 不食周粟
akxx 趴下
akxx 不分轩轾
akyl 瓦釜雷鸣
akym 不预则废
alad 不三不四
alar 不吐不快
alau 此风不可长
albj 历史剧
aldm 此唱彼和
aldm 此呼彼应
alht 矾土
alib 否决
alid 百叶窗
alif 否定
alin 躁动
aljg 歪风邪气
allk 历史唯物主义
alol 破口大骂
alps 石嘴山
alqn 百川归海
alqw 不吃羊肉空惹一身膻
alro 历史性
alrs 不遗余力
alsg 百口莫辩
altr 否认
alus 历史上
alwh 跺脚
alxx 不耻下问
alym 否则
alyr 不鸣则已一鸣惊人
amad 不疾不徐
amam 不痛不痒
amao 踱步
amao 矿砂
amas 矿石
amas 不稂不莠
ambe 矿难
ambf 母鸡
ambi 矿层
ambj 跃居
amcn 母女
amcn 母畜
amct 不忍卒读
amdn 百废待兴
amdn 矿泉
amdn 百废待举
amdp 母盘
ameh 母爱
amek 母乳
amel 不辞而别
amen 百废俱兴
ameu 母体
ameu 矿体
amfk 不利于
amgg 矿产
amgo 母系
amgs 跃升
amgs 不辞辛苦
amgu 母亲
amhc 矿坑
amhp 矿盐
amhq 跃增
amht 矿场
amif 不稳定
amig 矿工
amih 母猪
amik 矿井
amik 跃进
amiw 母狗
amjh 路透社
amjs 矿区
amkf 母线
amko 跃过
amkz 母子
amlv 硚口
ammn 不适应
ammu 矿床
amnb 矿泥
amnu 矿渣
amoh 不毛之地
amol 母钟
amon 母牛
amow 矿物
ampl 矿点
amps 矿山
ampu 毋庸置疑
amqk 矿粉
amqx 矿灯
amqy 母羊
amrf 母后
amrg 矿质
amro 母性
amrt 百科全书
amsd 厚积薄发
amsk 矿藏
amsk 止痛药
amtf 母语
amth 不应该
amts 矿务
amtx 毋庸讳言
amub 母树
amub 母权
amuc 母校
amuc 矿长
amue 矿业
amuf 母本
amus 矿上
amwg 母腹
amwh 踮脚
amwi 跃然
amwk 矿脉
amxj 矿车
amyy 母婴
anai 跟踪
anal 原汁原味
anao 踏步
anaq 不温不火
anau 不能不
anau 不清不楚
anbv 不能登大雅之堂
anch 泵房
andd 踏出
andk 跟团
aneo 碳水化合物
aner 不辱使命
aneu 泵体
anfs 跟手
anfu 不学无术
anfx 跟打
angp 泵站
angq 石油气
anhw 踏青
anie 不能自已
anif 不能自拔
anig 跟斗
anii 踏实
anik 跟进
anik 踏进
anio 跟头
aniw 还没有
anjj 紫水晶
anjq 跟班
ankc 石河子市
anke 跟了
ankg 破涕为笑
ankk 不法分子
ankz 石河子
anls 跟风
anmh 跟庄
annj 路漫漫
annk 踏浪
anod 不法之徒
anom 不治之症
anon 石沉大海
anot 不能赞一词
anov 跳梁小丑
anpi 跟随
anpp 跟帖
anpq 踏平
anqj 跟单
anqw 跟着
anqw 跟前
anrr 跟从
ante 跟谁
antg 跟读
anue 踏勘
anui 还治其人之身
anul 柴油机
anur 踏板
anur 踏入
anus 踏上
anxj 泵车
anyp 跟贴
anyv 踏雪
aoad 还原
aoad 还愿
aoak 砂砾
aoam 砂矿
aoao 频频
aoao 步步
aoao 跨步
aoao 不大不小
aoas 砂石
aoax 卫生厅
aobd 步履
aobi 砂层
aobl 步骤
aobo 跨骑
aobt 卫生局
aock 还好
aocn 频率
aoda 还须
aodd 跨出
aodd 步出
aodj 跨国
aodj 步行
aodj 还得
aodj 还行
aodj 跨行
aoee 频仍
aoeh 还债
aoei 频传
aoei 砂仁
aoek 步伐
aoek 还贷
aoek 还俗
aoek 石钟乳
aoel 频段
aoer 还价
aoeu 硝化
aofk 不小于
aofs 还手
aoft 不赞一词
aofw 硕大无朋
aoga 频繁
aogj 跨年
aogj 步韵
aogl 卫生部
aogo 砸锅卖铁
aogu 砂箱
aogw 还算
aogw 还真
aohg 跨境
aohh 砂壶
aohj 还款
aohk 跨越
aohk 频域
aoht 砂土
aoie 还在
aoih 频次
aoik 跨进
aoik 步进
aoin 还魂
aoir 频密
aois 频宽
aoiw 还有
aojd 还击
aoje 还礼
aojf 还是
aojf 卫生球
aojs 跨区
aokg 还乡
aokk 卫生纸
aokk 砂纸
aoko 跨过
aokr 还给
aoku 颦蹙
aokz 步子
aokz 碰钉子
aola 还嘴
aolo 步哨
aolv 还口
aoly 卫生员
aomd 破镜重圆
aomn 还应
aomq 还剩
aoms 跨度
aoms 频度
aong 跨海
aonh 步法
aonh 还清
aonl 还没
aonq 跨洋
aonw 还能
aonw 还未
aony 步测
aoof 还钱
aoog 跨省
aook 步态
aool 砂锅
aoos 硬生生
aooy 不锈钢
aopa 砂岩
aopf 步幅
aopi 卫生院
aopj 卫生巾
aopj 还阳
aoqc 频数
aoqd 硝烟
aoqg 砂粒
aoqh 砂浆
aoqh 还将
aoqi 频道
aoqm 砂糖
aoqo 破铜烂铁
aorf 步兵
aorg 矿物质
aorg 砂质
aorh 还情
aori 还会
aork 不省人事
aosh 频带
aosy 还用
aoth 还请
aotq 频谱
aotq 还说
aott 还书
aotw 步调
aouc 步长
aoue 跨业
aouh 硝基
aouq 跨栏
aour 步入
aour 步枪
aour 跨入
aouw 还想
aovr 跨界
aown 砂眼
aoxj 卫生间
aoxn 不大可能
aoxr 砂轮
aoyc 还要
aoye 还需
aoym 不规则
aoyn 硝酸
apad 蹦跳
apad 不虚此行
apaf 百战不殆
apai 不干不净
apap 不阴不阳
apas 矸石
apaw 百战百胜
apbo 蹦迪
apbp 碳刷
apeu 碳化
apho 碳素
apmm 顾虑重重
apmu 蹦床
apnl 跨平台
apnn 跋山涉水
apof 压岁钱
apon 不虞之誉
apot 不刊之论
apoy 碳钢
apqe 破除迷信
apqi 紫罗兰
apqk 碳粉
apte 历险记
apue 蹦极
apum 砧木
apur 砧板
apwc 不干胶
apwi 砰然
apxa 不置可否
apyl 不平则鸣
apyn 碳酸
aqah 破烂不堪
aqai 蹉跎
aqai 磁砖
aqam 磷矿
aqap 踯躅
aqaq 碰碰
aqas 磁石
aqbd 磁电
aqbl 碰壁
aqbo 石火电光
aqca 不差毫厘
aqcg 百兽率舞
aqcm 碰到
aqcq 磋商
aqdg 不道德
aqdn 励精图治
aqdp 磁盘
aqec 碰倒
aqeg 碰伤
aqem 碰面
aqeu 磁化
aqeu 磁体
aqeu 磷化
aqfg 碰撞
aqfk 顾炎武
aqhc 蹲坑
aqhg 彝族
aqhg 磁鼓
aqhr 蹭饭
aqhs 卫道士
aqhs 碰触
aqht 磁场
aqib 硬着头皮
aqid 碰巧
aqih 碰瓷
aqik 蹲守
aqio 碰头
aqio 磁头
aqja 磁环
aqjd 碰击
aqjj 磁矩
aqjs 磁暴
aqkh 母慈子孝
aqko 百炼成钢
aqll 磁器
aqma 磋磨
aqmk 磁疗
aqmm 不关痛痒
aqms 厝火积薪
aqne 磁浮
aqnh 柴米油盐
aqnh 磁学
aqnu 磁漆
aqnw 磁能
aqoe 压卷之作
aqog 磁铁
aqog 磁针
aqol 磷光
aqoo 碰锁
aqpj 硬着陆
aqpl 蹲点
aqqh 磷火
aqqi 跆拳道
aqqi 磁道
aqqw 蹲着
aqri 磁心
aqro 磁性
aqsh 磁带
aqsl 磁力
aqsn 碰落
aqsp 不着边际
aqtj 蹭课
aqtu 磁条
aqtw 不着调
aqua 碰杯
aque 磁极
aqup 磁卡
aqus 碰上
aqvx 磷虾
aqwe 磷肥
aqwu 磷脂
aqxx 蹲下
aqyj 碰见
